,Input,Action,Asset,Start,End
1929,Modifica la prenotazione di auditorium al giorno 15/01/2025 dalle 04:28 alle 13:28,modifica,auditorium,2025-01-15T04:28:24.400Z,2025-01-15T13:28:24.400Z
1930,Prenota ufficio A per il giorno 02/04/2025 dalle 00:13 alle 09:13,prenota,ufficio A,2025-04-02T00:13:24.400Z,2025-04-02T09:13:24.400Z
1931,Modifica la prenotazione di desk 40 al giorno 11/03/2025 dalle 06:28 alle 15:28,modifica,desk 40,2025-03-11T06:28:24.400Z,2025-03-11T15:28:24.400Z
1932,Modifica la prenotazione di ufficio B al giorno 27/03/2025 dalle 00:43 alle 02:43,modifica,ufficio B,2025-03-27T00:43:24.400Z,2025-03-27T02:43:24.400Z
1933,Prenota desk 40 per il giorno 20/03/2025 dalle 10:43 alle 11:43,prenota,desk 40,2025-03-20T10:43:24.400Z,2025-03-20T11:43:24.400Z
1934,Modifica la prenotazione di ufficio A al giorno 12/02/2025 dalle 00:28 alle 03:28,modifica,ufficio A,2025-02-12T00:28:24.400Z,2025-02-12T03:28:24.400Z
1935,Modifica la prenotazione di auditorium al giorno 27/03/2025 dalle 01:28 alle 10:28,modifica,auditorium,2025-03-27T01:28:24.400Z,2025-03-27T10:28:24.400Z
1936,Cancella la prenotazione di desk 40 per il giorno 07/01/2025 dalle 00:28 alle 09:28,cancella,desk 40,2025-01-07T00:28:24.400Z,2025-01-07T09:28:24.400Z
1937,Cancella la prenotazione di sala meeting per il giorno 13/03/2025 dalle 02:13 alle 03:13,cancella,sala meeting,2025-03-13T02:13:24.400Z,2025-03-13T03:13:24.400Z
1938,Prenota sala meeting per il giorno 08/01/2025 dalle 07:58 alle 16:58,prenota,sala meeting,2025-01-08T07:58:24.400Z,2025-01-08T16:58:24.400Z
1939,Cancella la prenotazione di auditorium per il giorno 17/03/2025 dalle 06:58 alle 15:58,cancella,auditorium,2025-03-17T06:58:24.400Z,2025-03-17T15:58:24.400Z
1940,Cancella la prenotazione di ufficio B per il giorno 12/03/2025 dalle 07:43 alle 09:43,cancella,ufficio B,2025-03-12T07:43:24.400Z,2025-03-12T09:43:24.400Z
1941,Modifica la prenotazione di desk 40 al giorno 08/01/2025 dalle 02:28 alle 06:28,modifica,desk 40,2025-01-08T02:28:24.400Z,2025-01-08T06:28:24.400Z
1942,Prenota sala meeting per il giorno 30/01/2025 dalle 01:43 alle 11:43,prenota,sala meeting,2025-01-30T01:43:24.400Z,2025-01-30T11:43:24.400Z
1943,Cancella la prenotazione di sala meeting per il giorno 19/01/2025 dalle 11:13 alle 13:13,cancella,sala meeting,2025-01-19T11:13:24.400Z,2025-01-19T13:13:24.400Z
1944,Modifica la prenotazione di sala meeting al giorno 05/02/2025 dalle 05:43 alle 12:43,modifica,sala meeting,2025-02-05T05:43:24.400Z,2025-02-05T12:43:24.400Z
1945,Cancella la prenotazione di sala riunioni per il giorno 04/02/2025 dalle 10:13 alle 13:13,cancella,sala riunioni,2025-02-04T10:13:24.400Z,2025-02-04T13:13:24.400Z
1946,Modifica la prenotazione di auditorium al giorno 12/01/2025 dalle 09:58 alle 13:58,modifica,auditorium,2025-01-12T09:58:24.400Z,2025-01-12T13:58:24.400Z
1947,Modifica la prenotazione di sala meeting al giorno 16/03/2025 dalle 09:43 alle 16:43,modifica,sala meeting,2025-03-16T09:43:24.400Z,2025-03-16T16:43:24.400Z
1948,Prenota sala meeting per il giorno 27/02/2025 dalle 05:28 alle 15:28,prenota,sala meeting,2025-02-27T05:28:24.400Z,2025-02-27T15:28:24.400Z
1949,Prenota sala riunioni per il giorno 06/02/2025 dalle 00:28 alle 09:28,prenota,sala riunioni,2025-02-06T00:28:24.400Z,2025-02-06T09:28:24.400Z
1950,Cancella la prenotazione di sala riunioni per il giorno 14/02/2025 dalle 09:28 alle 15:28,cancella,sala riunioni,2025-02-14T09:28:24.400Z,2025-02-14T15:28:24.400Z
1951,Cancella la prenotazione di desk 40 per il giorno 06/02/2025 dalle 01:43 alle 06:43,cancella,desk 40,2025-02-06T01:43:24.400Z,2025-02-06T06:43:24.400Z
1952,Prenota sala riunioni per il giorno 20/02/2025 dalle 03:13 alle 05:13,prenota,sala riunioni,2025-02-20T03:13:24.400Z,2025-02-20T05:13:24.400Z
1953,Prenota auditorium per il giorno 11/03/2025 dalle 10:58 alle 20:58,prenota,auditorium,2025-03-11T10:58:24.400Z,2025-03-11T20:58:24.400Z
1954,Cancella la prenotazione di sala riunioni per il giorno 11/03/2025 dalle 04:58 alle 13:58,cancella,sala riunioni,2025-03-11T04:58:24.400Z,2025-03-11T13:58:24.400Z
1955,Cancella la prenotazione di ufficio B per il giorno 15/01/2025 dalle 13:28 alle 16:28,cancella,ufficio B,2025-01-15T13:28:24.400Z,2025-01-15T16:28:24.400Z
1956,Cancella la prenotazione di desk 40 per il giorno 21/02/2025 dalle 01:58 alle 10:58,cancella,desk 40,2025-02-21T01:58:24.400Z,2025-02-21T10:58:24.400Z
1957,Modifica la prenotazione di ufficio B al giorno 23/02/2025 dalle 06:43 alle 11:43,modifica,ufficio B,2025-02-23T06:43:24.400Z,2025-02-23T11:43:24.400Z
1958,Prenota desk 18 per il giorno 09/03/2025 dalle 10:43 alle 13:43,prenota,desk 18,2025-03-09T10:43:24.400Z,2025-03-09T13:43:24.400Z
1959,Prenota ufficio A per il giorno 16/03/2025 dalle 10:58 alle 11:58,prenota,ufficio A,2025-03-16T10:58:24.400Z,2025-03-16T11:58:24.400Z
1960,Modifica la prenotazione di desk 18 al giorno 19/02/2025 dalle 10:43 alle 20:43,modifica,desk 18,2025-02-19T10:43:24.400Z,2025-02-19T20:43:24.400Z
1961,Cancella la prenotazione di desk 18 per il giorno 02/03/2025 dalle 02:13 alle 08:13,cancella,desk 18,2025-03-02T02:13:24.410Z,2025-03-02T08:13:24.410Z
1962,Cancella la prenotazione di ufficio B per il giorno 08/02/2025 dalle 04:13 alle 13:13,cancella,ufficio B,2025-02-08T04:13:24.410Z,2025-02-08T13:13:24.410Z
1963,Modifica la prenotazione di desk 40 al giorno 01/02/2025 dalle 03:28 alle 08:28,modifica,desk 40,2025-02-01T03:28:24.410Z,2025-02-01T08:28:24.410Z
1964,Cancella la prenotazione di desk 40 per il giorno 12/02/2025 dalle 12:28 alle 14:28,cancella,desk 40,2025-02-12T12:28:24.410Z,2025-02-12T14:28:24.410Z
1965,Prenota desk 18 per il giorno 02/02/2025 dalle 00:43 alle 10:43,prenota,desk 18,2025-02-02T00:43:24.410Z,2025-02-02T10:43:24.410Z
1966,Prenota sala riunioni per il giorno 08/02/2025 dalle 08:13 alle 09:13,prenota,sala riunioni,2025-02-08T08:13:24.410Z,2025-02-08T09:13:24.410Z
1967,Cancella la prenotazione di desk 18 per il giorno 09/03/2025 dalle 13:43 alle 21:43,cancella,desk 18,2025-03-09T13:43:24.410Z,2025-03-09T21:43:24.410Z
1968,Cancella la prenotazione di ufficio B per il giorno 31/03/2025 dalle 09:28 alle 16:28,cancella,ufficio B,2025-03-31T09:28:24.410Z,2025-03-31T16:28:24.410Z
1969,Prenota ufficio B per il giorno 27/01/2025 dalle 13:28 alle 20:28,prenota,ufficio B,2025-01-27T13:28:24.410Z,2025-01-27T20:28:24.410Z
1970,Modifica la prenotazione di ufficio B al giorno 16/02/2025 dalle 02:28 alle 12:28,modifica,ufficio B,2025-02-16T02:28:24.410Z,2025-02-16T12:28:24.410Z
1971,Cancella la prenotazione di auditorium per il giorno 30/03/2025 dalle 13:43 alle 16:43,cancella,auditorium,2025-03-30T13:43:24.410Z,2025-03-30T16:43:24.410Z
1972,Prenota sala meeting per il giorno 20/01/2025 dalle 07:58 alle 08:58,prenota,sala meeting,2025-01-20T07:58:24.410Z,2025-01-20T08:58:24.410Z
1973,Cancella la prenotazione di ufficio A per il giorno 20/02/2025 dalle 01:58 alle 03:58,cancella,ufficio A,2025-02-20T01:58:24.410Z,2025-02-20T03:58:24.410Z
1974,Cancella la prenotazione di desk 18 per il giorno 03/02/2025 dalle 12:28 alle 17:28,cancella,desk 18,2025-02-03T12:28:24.410Z,2025-02-03T17:28:24.410Z
1975,Cancella la prenotazione di ufficio A per il giorno 09/02/2025 dalle 03:43 alle 04:43,cancella,ufficio A,2025-02-09T03:43:24.410Z,2025-02-09T04:43:24.410Z
1976,Modifica la prenotazione di desk 18 al giorno 16/03/2025 dalle 05:43 alle 10:43,modifica,desk 18,2025-03-16T05:43:24.410Z,2025-03-16T10:43:24.410Z
1977,Modifica la prenotazione di ufficio B al giorno 07/01/2025 dalle 14:13 alle 00:13,modifica,ufficio B,2025-01-07T14:13:24.410Z,2025-01-08T00:13:24.410Z
1978,Cancella la prenotazione di sala riunioni per il giorno 17/02/2025 dalle 00:13 alle 06:13,cancella,sala riunioni,2025-02-17T00:13:24.410Z,2025-02-17T06:13:24.410Z
1979,Cancella la prenotazione di sala meeting per il giorno 15/01/2025 dalle 23:58 alle 02:58,cancella,sala meeting,2025-01-15T23:58:24.410Z,2025-01-16T02:58:24.410Z
1980,Cancella la prenotazione di sala meeting per il giorno 04/01/2025 dalle 01:13 alle 09:13,cancella,sala meeting,2025-01-04T01:13:24.410Z,2025-01-04T09:13:24.410Z
1981,Prenota sala riunioni per il giorno 11/03/2025 dalle 07:43 alle 14:43,prenota,sala riunioni,2025-03-11T07:43:24.410Z,2025-03-11T14:43:24.410Z
1982,Prenota ufficio A per il giorno 03/01/2025 dalle 01:58 alle 05:58,prenota,ufficio A,2025-01-03T01:58:24.410Z,2025-01-03T05:58:24.410Z
1983,Cancella la prenotazione di ufficio A per il giorno 19/02/2025 dalle 03:58 alle 10:58,cancella,ufficio A,2025-02-19T03:58:24.410Z,2025-02-19T10:58:24.410Z
1984,Prenota ufficio B per il giorno 06/02/2025 dalle 01:13 alle 09:13,prenota,ufficio B,2025-02-06T01:13:24.410Z,2025-02-06T09:13:24.410Z
1985,Prenota auditorium per il giorno 17/02/2025 dalle 11:13 alle 12:13,prenota,auditorium,2025-02-17T11:13:24.410Z,2025-02-17T12:13:24.410Z
1986,Cancella la prenotazione di desk 40 per il giorno 03/04/2025 dalle 02:28 alle 06:28,cancella,desk 40,2025-04-03T02:28:24.410Z,2025-04-03T06:28:24.410Z
1987,Cancella la prenotazione di sala riunioni per il giorno 20/01/2025 dalle 06:13 alle 12:13,cancella,sala riunioni,2025-01-20T06:13:24.410Z,2025-01-20T12:13:24.410Z
1988,Prenota auditorium per il giorno 29/03/2025 dalle 03:13 alle 08:13,prenota,auditorium,2025-03-29T03:13:24.410Z,2025-03-29T08:13:24.410Z
1989,Prenota ufficio A per il giorno 06/03/2025 dalle 08:13 alle 11:13,prenota,ufficio A,2025-03-06T08:13:24.410Z,2025-03-06T11:13:24.410Z
1990,Cancella la prenotazione di desk 40 per il giorno 23/02/2025 dalle 08:13 alle 11:13,cancella,desk 40,2025-02-23T08:13:24.410Z,2025-02-23T11:13:24.410Z
1991,Prenota sala riunioni per il giorno 05/01/2025 dalle 01:43 alle 07:43,prenota,sala riunioni,2025-01-05T01:43:24.410Z,2025-01-05T07:43:24.410Z
1992,Modifica la prenotazione di sala riunioni al giorno 31/03/2025 dalle 02:28 alle 08:28,modifica,sala riunioni,2025-03-31T02:28:24.410Z,2025-03-31T08:28:24.410Z
1993,Cancella la prenotazione di ufficio B per il giorno 04/01/2025 dalle 06:13 alle 11:13,cancella,ufficio B,2025-01-04T06:13:24.410Z,2025-01-04T11:13:24.410Z
1994,Cancella la prenotazione di ufficio A per il giorno 13/01/2025 dalle 12:13 alle 16:13,cancella,ufficio A,2025-01-13T12:13:24.410Z,2025-01-13T16:13:24.410Z
1995,Modifica la prenotazione di auditorium al giorno 09/03/2025 dalle 01:43 alle 06:43,modifica,auditorium,2025-03-09T01:43:24.410Z,2025-03-09T06:43:24.410Z
1996,Prenota desk 40 per il giorno 05/02/2025 dalle 10:43 alle 17:43,prenota,desk 40,2025-02-05T10:43:24.410Z,2025-02-05T17:43:24.410Z
1997,Prenota ufficio A per il giorno 03/04/2025 dalle 11:28 alle 20:28,prenota,ufficio A,2025-04-03T11:28:24.410Z,2025-04-03T20:28:24.410Z
1998,Modifica la prenotazione di auditorium al giorno 27/01/2025 dalle 12:43 alle 16:43,modifica,auditorium,2025-01-27T12:43:24.410Z,2025-01-27T16:43:24.410Z
1999,Prenota auditorium per il giorno 22/02/2025 dalle 23:58 alle 03:58,prenota,auditorium,2025-02-22T23:58:24.410Z,2025-02-23T03:58:24.410Z
2000,Prenota ufficio A per il giorno 05/01/2025 dalle 08:43 alle 10:43,prenota,ufficio A,2025-01-05T08:43:24.410Z,2025-01-05T10:43:24.410Z
2001,Prenota ufficio A per il giorno 24/02/2025 dalle 07:58 alle 11:58,prenota,ufficio A,2025-02-24T07:58:24.410Z,2025-02-24T11:58:24.410Z
2002,Prenota sala meeting per il giorno 26/02/2025 dalle 06:28 alle 15:28,prenota,sala meeting,2025-02-26T06:28:24.410Z,2025-02-26T15:28:24.410Z
2003,Cancella la prenotazione di desk 18 per il giorno 09/01/2025 dalle 03:28 alle 08:28,cancella,desk 18,2025-01-09T03:28:24.410Z,2025-01-09T08:28:24.410Z
2004,Cancella la prenotazione di sala meeting per il giorno 16/02/2025 dalle 11:13 alle 15:13,cancella,sala meeting,2025-02-16T11:13:24.410Z,2025-02-16T15:13:24.410Z
2005,Cancella la prenotazione di sala riunioni per il giorno 25/01/2025 dalle 23:28 alle 00:28,cancella,sala riunioni,2025-01-25T23:28:24.410Z,2025-01-26T00:28:24.410Z
2006,Modifica la prenotazione di desk 18 al giorno 13/02/2025 dalle 02:58 alle 10:58,modifica,desk 18,2025-02-13T02:58:24.410Z,2025-02-13T10:58:24.410Z
2007,Cancella la prenotazione di ufficio B per il giorno 15/01/2025 dalle 05:43 alle 10:43,cancella,ufficio B,2025-01-15T05:43:24.410Z,2025-01-15T10:43:24.410Z
2008,Cancella la prenotazione di sala meeting per il giorno 14/02/2025 dalle 03:28 alle 05:28,cancella,sala meeting,2025-02-14T03:28:24.410Z,2025-02-14T05:28:24.410Z
2009,Modifica la prenotazione di sala riunioni al giorno 31/03/2025 dalle 07:43 alle 13:43,modifica,sala riunioni,2025-03-31T07:43:24.410Z,2025-03-31T13:43:24.410Z
2010,Cancella la prenotazione di desk 18 per il giorno 18/02/2025 dalle 10:58 alle 14:58,cancella,desk 18,2025-02-18T10:58:24.410Z,2025-02-18T14:58:24.410Z
2011,Modifica la prenotazione di sala meeting al giorno 29/01/2025 dalle 09:13 alle 11:13,modifica,sala meeting,2025-01-29T09:13:24.410Z,2025-01-29T11:13:24.410Z
2012,Prenota auditorium per il giorno 24/03/2025 dalle 10:28 alle 11:28,prenota,auditorium,2025-03-24T10:28:24.410Z,2025-03-24T11:28:24.410Z
2013,Modifica la prenotazione di desk 18 al giorno 27/01/2025 dalle 03:13 alle 05:13,modifica,desk 18,2025-01-27T03:13:24.410Z,2025-01-27T05:13:24.410Z
2014,Prenota ufficio B per il giorno 23/03/2025 dalle 04:58 alle 12:58,prenota,ufficio B,2025-03-23T04:58:24.410Z,2025-03-23T12:58:24.410Z
2015,Prenota ufficio B per il giorno 21/01/2025 dalle 23:43 alle 03:43,prenota,ufficio B,2025-01-21T23:43:24.410Z,2025-01-22T03:43:24.410Z
2016,Cancella la prenotazione di ufficio B per il giorno 04/02/2025 dalle 13:58 alle 19:58,cancella,ufficio B,2025-02-04T13:58:24.410Z,2025-02-04T19:58:24.410Z
2017,Cancella la prenotazione di desk 18 per il giorno 18/01/2025 dalle 14:13 alle 16:13,cancella,desk 18,2025-01-18T14:13:24.410Z,2025-01-18T16:13:24.410Z
2018,Cancella la prenotazione di ufficio A per il giorno 11/03/2025 dalle 13:28 alle 16:28,cancella,ufficio A,2025-03-11T13:28:24.410Z,2025-03-11T16:28:24.410Z
2019,Modifica la prenotazione di sala meeting al giorno 02/04/2025 dalle 01:58 alle 02:58,modifica,sala meeting,2025-04-02T01:58:24.410Z,2025-04-02T02:58:24.410Z
2020,Modifica la prenotazione di sala riunioni al giorno 01/04/2025 dalle 03:13 alle 11:13,modifica,sala riunioni,2025-04-01T03:13:24.410Z,2025-04-01T11:13:24.410Z
2021,Modifica la prenotazione di ufficio B al giorno 09/03/2025 dalle 00:43 alle 08:43,modifica,ufficio B,2025-03-09T00:43:24.410Z,2025-03-09T08:43:24.410Z
2022,Modifica la prenotazione di ufficio A al giorno 15/03/2025 dalle 12:13 alle 19:13,modifica,ufficio A,2025-03-15T12:13:24.410Z,2025-03-15T19:13:24.410Z
2023,Modifica la prenotazione di sala meeting al giorno 29/01/2025 dalle 01:28 alle 04:28,modifica,sala meeting,2025-01-29T01:28:24.410Z,2025-01-29T04:28:24.410Z
2024,Modifica la prenotazione di auditorium al giorno 19/03/2025 dalle 10:28 alle 19:28,modifica,auditorium,2025-03-19T10:28:24.410Z,2025-03-19T19:28:24.410Z
2025,Cancella la prenotazione di ufficio B per il giorno 03/04/2025 dalle 10:58 alle 15:58,cancella,ufficio B,2025-04-03T10:58:24.410Z,2025-04-03T15:58:24.410Z
2026,Prenota sala meeting per il giorno 03/04/2025 dalle 03:28 alle 06:28,prenota,sala meeting,2025-04-03T03:28:24.410Z,2025-04-03T06:28:24.410Z
2027,Prenota sala riunioni per il giorno 12/03/2025 dalle 02:58 alle 03:58,prenota,sala riunioni,2025-03-12T02:58:24.410Z,2025-03-12T03:58:24.410Z
2028,Modifica la prenotazione di auditorium al giorno 07/02/2025 dalle 13:43 alle 18:43,modifica,auditorium,2025-02-07T13:43:24.410Z,2025-02-07T18:43:24.410Z
2029,Prenota desk 18 per il giorno 03/02/2025 dalle 12:43 alle 21:43,prenota,desk 18,2025-02-03T12:43:24.410Z,2025-02-03T21:43:24.410Z
2030,Prenota sala riunioni per il giorno 27/03/2025 dalle 04:58 alle 10:58,prenota,sala riunioni,2025-03-27T04:58:24.410Z,2025-03-27T10:58:24.410Z
2031,Prenota desk 18 per il giorno 14/03/2025 dalle 03:43 alle 10:43,prenota,desk 18,2025-03-14T03:43:24.410Z,2025-03-14T10:43:24.410Z
2032,Modifica la prenotazione di sala meeting al giorno 12/02/2025 dalle 23:28 alle 05:28,modifica,sala meeting,2025-02-12T23:28:24.410Z,2025-02-13T05:28:24.410Z
2033,Prenota desk 18 per il giorno 07/02/2025 dalle 01:58 alle 02:58,prenota,desk 18,2025-02-07T01:58:24.410Z,2025-02-07T02:58:24.410Z
2034,Modifica la prenotazione di desk 18 al giorno 18/03/2025 dalle 01:13 alle 06:13,modifica,desk 18,2025-03-18T01:13:24.410Z,2025-03-18T06:13:24.410Z
2035,Modifica la prenotazione di desk 18 al giorno 21/03/2025 dalle 07:43 alle 15:43,modifica,desk 18,2025-03-21T07:43:24.410Z,2025-03-21T15:43:24.410Z
2036,Prenota sala meeting per il giorno 06/02/2025 dalle 03:13 alle 06:13,prenota,sala meeting,2025-02-06T03:13:24.410Z,2025-02-06T06:13:24.410Z
2037,Cancella la prenotazione di auditorium per il giorno 27/02/2025 dalle 04:43 alle 12:43,cancella,auditorium,2025-02-27T04:43:24.410Z,2025-02-27T12:43:24.410Z
2038,Prenota ufficio A per il giorno 26/01/2025 dalle 06:43 alle 09:43,prenota,ufficio A,2025-01-26T06:43:24.410Z,2025-01-26T09:43:24.410Z
2039,Prenota ufficio B per il giorno 06/03/2025 dalle 10:43 alle 15:43,prenota,ufficio B,2025-03-06T10:43:24.410Z,2025-03-06T15:43:24.410Z
2040,Prenota sala meeting per il giorno 23/01/2025 dalle 13:43 alle 20:43,prenota,sala meeting,2025-01-23T13:43:24.410Z,2025-01-23T20:43:24.410Z
2041,Modifica la prenotazione di ufficio B al giorno 27/01/2025 dalle 00:43 alle 02:43,modifica,ufficio B,2025-01-27T00:43:24.410Z,2025-01-27T02:43:24.410Z
2042,Cancella la prenotazione di auditorium per il giorno 02/03/2025 dalle 14:13 alle 16:13,cancella,auditorium,2025-03-02T14:13:24.410Z,2025-03-02T16:13:24.410Z
2043,Modifica la prenotazione di ufficio B al giorno 20/01/2025 dalle 10:28 alle 20:28,modifica,ufficio B,2025-01-20T10:28:24.410Z,2025-01-20T20:28:24.410Z
2044,Prenota ufficio A per il giorno 20/02/2025 dalle 23:28 alle 00:28,prenota,ufficio A,2025-02-20T23:28:24.410Z,2025-02-21T00:28:24.410Z
2045,Modifica la prenotazione di sala riunioni al giorno 19/01/2025 dalle 02:28 alle 07:28,modifica,sala riunioni,2025-01-19T02:28:24.410Z,2025-01-19T07:28:24.410Z
2046,Prenota desk 18 per il giorno 19/03/2025 dalle 23:28 alle 01:28,prenota,desk 18,2025-03-19T23:28:24.410Z,2025-03-20T01:28:24.410Z
2047,Modifica la prenotazione di desk 18 al giorno 15/02/2025 dalle 12:28 alle 16:28,modifica,desk 18,2025-02-15T12:28:24.410Z,2025-02-15T16:28:24.410Z
2048,Prenota ufficio A per il giorno 16/03/2025 dalle 14:13 alle 17:13,prenota,ufficio A,2025-03-16T14:13:24.410Z,2025-03-16T17:13:24.410Z
2049,Cancella la prenotazione di sala meeting per il giorno 05/03/2025 dalle 01:43 alle 02:43,cancella,sala meeting,2025-03-05T01:43:24.410Z,2025-03-05T02:43:24.410Z
2050,Modifica la prenotazione di desk 18 al giorno 06/02/2025 dalle 09:28 alle 10:28,modifica,desk 18,2025-02-06T09:28:24.410Z,2025-02-06T10:28:24.410Z
2051,Prenota sala riunioni per il giorno 13/03/2025 dalle 03:28 alle 12:28,prenota,sala riunioni,2025-03-13T03:28:24.410Z,2025-03-13T12:28:24.410Z
2052,Cancella la prenotazione di auditorium per il giorno 03/01/2025 dalle 13:43 alle 14:43,cancella,auditorium,2025-01-03T13:43:24.410Z,2025-01-03T14:43:24.410Z
2053,Prenota ufficio A per il giorno 21/02/2025 dalle 01:58 alle 06:58,prenota,ufficio A,2025-02-21T01:58:24.410Z,2025-02-21T06:58:24.410Z
2054,Prenota desk 18 per il giorno 21/02/2025 dalle 09:28 alle 17:28,prenota,desk 18,2025-02-21T09:28:24.410Z,2025-02-21T17:28:24.410Z
2055,Prenota sala riunioni per il giorno 31/01/2025 dalle 00:58 alle 06:58,prenota,sala riunioni,2025-01-31T00:58:24.410Z,2025-01-31T06:58:24.410Z
2056,Prenota ufficio B per il giorno 14/02/2025 dalle 00:58 alle 02:58,prenota,ufficio B,2025-02-14T00:58:24.410Z,2025-02-14T02:58:24.410Z
2057,Prenota ufficio B per il giorno 22/01/2025 dalle 02:13 alle 11:13,prenota,ufficio B,2025-01-22T02:13:24.410Z,2025-01-22T11:13:24.410Z
2058,Cancella la prenotazione di ufficio B per il giorno 26/01/2025 dalle 10:13 alle 13:13,cancella,ufficio B,2025-01-26T10:13:24.410Z,2025-01-26T13:13:24.410Z
2059,Modifica la prenotazione di desk 18 al giorno 10/02/2025 dalle 08:58 alle 14:58,modifica,desk 18,2025-02-10T08:58:24.410Z,2025-02-10T14:58:24.410Z
2060,Prenota sala meeting per il giorno 07/03/2025 dalle 09:58 alle 14:58,prenota,sala meeting,2025-03-07T09:58:24.410Z,2025-03-07T14:58:24.410Z
2061,Modifica la prenotazione di desk 40 al giorno 12/01/2025 dalle 11:28 alle 14:28,modifica,desk 40,2025-01-12T11:28:24.410Z,2025-01-12T14:28:24.410Z
2062,Modifica la prenotazione di auditorium al giorno 12/02/2025 dalle 02:13 alle 10:13,modifica,auditorium,2025-02-12T02:13:24.410Z,2025-02-12T10:13:24.410Z
2063,Modifica la prenotazione di desk 40 al giorno 05/03/2025 dalle 12:28 alle 14:28,modifica,desk 40,2025-03-05T12:28:24.410Z,2025-03-05T14:28:24.410Z
2064,Modifica la prenotazione di ufficio A al giorno 07/02/2025 dalle 01:28 alle 07:28,modifica,ufficio A,2025-02-07T01:28:24.410Z,2025-02-07T07:28:24.410Z
2065,Prenota auditorium per il giorno 21/02/2025 dalle 04:58 alle 12:58,prenota,auditorium,2025-02-21T04:58:24.410Z,2025-02-21T12:58:24.410Z
2066,Cancella la prenotazione di ufficio A per il giorno 01/04/2025 dalle 05:58 alle 08:58,cancella,ufficio A,2025-04-01T05:58:24.410Z,2025-04-01T08:58:24.410Z
2067,Modifica la prenotazione di auditorium al giorno 21/02/2025 dalle 06:13 alle 15:13,modifica,auditorium,2025-02-21T06:13:24.410Z,2025-02-21T15:13:24.410Z
2068,Modifica la prenotazione di ufficio A al giorno 12/03/2025 dalle 07:43 alle 14:43,modifica,ufficio A,2025-03-12T07:43:24.410Z,2025-03-12T14:43:24.410Z
2069,Prenota ufficio B per il giorno 25/02/2025 dalle 07:43 alle 09:43,prenota,ufficio B,2025-02-25T07:43:24.410Z,2025-02-25T09:43:24.410Z
2070,Prenota sala meeting per il giorno 03/01/2025 dalle 02:28 alle 08:28,prenota,sala meeting,2025-01-03T02:28:24.410Z,2025-01-03T08:28:24.410Z
2071,Modifica la prenotazione di ufficio A al giorno 20/01/2025 dalle 13:28 alle 14:28,modifica,ufficio A,2025-01-20T13:28:24.410Z,2025-01-20T14:28:24.410Z
2072,Cancella la prenotazione di sala meeting per il giorno 20/01/2025 dalle 04:13 alle 07:13,cancella,sala meeting,2025-01-20T04:13:24.410Z,2025-01-20T07:13:24.410Z
2073,Modifica la prenotazione di ufficio A al giorno 03/02/2025 dalle 02:43 alle 03:43,modifica,ufficio A,2025-02-03T02:43:24.410Z,2025-02-03T03:43:24.410Z
2074,Modifica la prenotazione di auditorium al giorno 18/01/2025 dalle 10:43 alle 17:43,modifica,auditorium,2025-01-18T10:43:24.410Z,2025-01-18T17:43:24.410Z
2075,Modifica la prenotazione di sala riunioni al giorno 02/04/2025 dalle 05:58 alle 06:58,modifica,sala riunioni,2025-04-02T05:58:24.410Z,2025-04-02T06:58:24.410Z
2076,Modifica la prenotazione di sala riunioni al giorno 28/03/2025 dalle 08:28 alle 16:28,modifica,sala riunioni,2025-03-28T08:28:24.410Z,2025-03-28T16:28:24.410Z
2077,Modifica la prenotazione di desk 40 al giorno 22/01/2025 dalle 23:43 alle 05:43,modifica,desk 40,2025-01-22T23:43:24.410Z,2025-01-23T05:43:24.410Z
2078,Prenota sala riunioni per il giorno 03/02/2025 dalle 00:28 alle 10:28,prenota,sala riunioni,2025-02-03T00:28:24.410Z,2025-02-03T10:28:24.410Z
2079,Cancella la prenotazione di auditorium per il giorno 26/01/2025 dalle 06:43 alle 15:43,cancella,auditorium,2025-01-26T06:43:24.410Z,2025-01-26T15:43:24.410Z
2080,Modifica la prenotazione di sala meeting al giorno 04/03/2025 dalle 05:58 alle 13:58,modifica,sala meeting,2025-03-04T05:58:24.410Z,2025-03-04T13:58:24.410Z
2081,Modifica la prenotazione di desk 18 al giorno 04/01/2025 dalle 03:28 alle 06:28,modifica,desk 18,2025-01-04T03:28:24.410Z,2025-01-04T06:28:24.410Z
2082,Prenota desk 18 per il giorno 07/01/2025 dalle 08:43 alle 17:43,prenota,desk 18,2025-01-07T08:43:24.410Z,2025-01-07T17:43:24.410Z
2083,Prenota sala riunioni per il giorno 22/02/2025 dalle 13:13 alle 21:13,prenota,sala riunioni,2025-02-22T13:13:24.410Z,2025-02-22T21:13:24.410Z
2084,Modifica la prenotazione di desk 18 al giorno 05/02/2025 dalle 13:58 alle 17:58,modifica,desk 18,2025-02-05T13:58:24.410Z,2025-02-05T17:58:24.410Z
2085,Cancella la prenotazione di auditorium per il giorno 06/02/2025 dalle 01:13 alle 04:13,cancella,auditorium,2025-02-06T01:13:24.410Z,2025-02-06T04:13:24.410Z
2086,Modifica la prenotazione di auditorium al giorno 23/02/2025 dalle 08:28 alle 12:28,modifica,auditorium,2025-02-23T08:28:24.410Z,2025-02-23T12:28:24.410Z
2087,Cancella la prenotazione di auditorium per il giorno 15/03/2025 dalle 08:28 alle 16:28,cancella,auditorium,2025-03-15T08:28:24.410Z,2025-03-15T16:28:24.410Z
